10000 39402
5877 5878 233.30
7376 7476 292.83
8766 8865 348.00
8755 8854 347.56
5894 5995 234.01
6642 6643 263.66
5858 5958 232.56
3163 3262 125.56
468 568 18.58
5306 5405 210.62
6084 6184 241.54
6052 6153 240.27
6793 6794 269.67
5920 6019 235.00
1220 1221 48.40
4991 5091 198.15
9780 9781 388.25
2040 2141 80.99
2270 2271 90.10
8538 8639 338.96
6431 6432 255.28
1370 1371 54.37
8326 8426 330.53
201 301 7.96
6891 6892 273.56
9509 9510 377.47
2227 2326 88.39
6723 6724 266.87
123 222 4.86
488 588 19.38
104 203 4.10
5930 6029 235.40
527 528 20.89
5841 5842 231.86
3111 3211 123.49
5482 5483 217.62
931 1031 36.95
901 902 35.74
3268 3367 129.73
6356 6357 252.31
3602 3701 142.97
8006 8105 317.81
7340 7441 291.40
4839 4938 192.09
8658 8757 343.71
1169 1269 46.41
3106 3207 123.30
7737 7738 307.13
6036 6135 239.61
8123 8224 322.48
9851 9852 391.06
7677 7678 304.76
7640 7641 303.28
996 1096 39.55
2138 2238 84.87
6785 6786 269.35
7949 8048 315.56
8284 8384 328.88
9893 9994 392.77
5260 5261 208.80
9838 9939 390.57
5697 5698 226.16
1116 1216 44.29
7742 7842 307.35
6264 6365 248.69
879 978 34.89
6208 6307 246.43
431 532 17.11
8404 8405 333.60
3521 3620 139.76
3327 3426 132.06
6702 6801 266.04
3762 3862 149.35
5986 6087 237.66
1122 1123 44.51
3887 3987 154.32
4479 4579 177.82
1016 1115 40.31
6587 6686 261.50
5552 5652 220.41
5911 6012 234.66
6464 6565 256.63
6788 6889 269.50
883 982 35.05
3185 3186 126.43
6200 6300 246.14
3334 3433 132.34
188 289 7.48
5228 5327 207.53
3656 3756 145.14
5736 5836 227.71
4174 4273 165.70
8043 8142 319.29
1852 1951 73.51
8441 8540 335.09
2122 2221 84.22
5575 5576 221.31
419 518 16.61
1695 1796 67.31
2794 2895 110.94
6541 6641 259.67
1946 2046 77.25
3498 3499 138.86
5376 5476 213.43
2618 2719 103.93
9940 9941 393.43
2599 2698 103.18
3049 3150 121.05
9436 9537 374.61
9892 9893 392.70
6713 6714 266.47
2628 2729 104.33
8908 9008 353.63
2195 2196 87.13
9378 9379 372.29
971 1072 38.56
364 465 14.46
685 784 27.19
4720 4819 187.36
2685 2786 106.61
812 813 32.20
206 207 8.14
1096 1097 43.50
7770 7869 308.46
3176 3277 126.10
291 390 11.55
5658 5659 224.60
3449 3450 136.90
1696 1697 67.32
1799 1899 71.43
3917 4017 155.49
3848 3948 152.76
9358 9458 371.51
5167 5266 205.12
3258 3359 129.35
6086 6186 241.62
2810 2911 111.55
3849 3950 152.81
4433 4532 175.97
1810 1909 71.83
9351 9450 371.22
7312 7412 290.27
1009 1109 40.04
1956 1957 77.63
744 843 29.52
6473 6573 256.98
4420 4421 175.44
4523 4622 179.54
9107 9206 361.52
2901 3001 115.15
7618 7719 302.43
4267 4367 169.40
1268 1368 50.34
917 1017 36.39
8438 8539 334.99
4862 4863 193.00
1500 1599 59.54
9718 9719 385.77
2300 2400 91.31
7199 7200 285.79
8331 8430 330.72
5424 5524 215.32
5422 5423 215.22
2576 2577 102.25
6231 6331 247.36
130 229 5.14
5272 5372 209.30
8072 8172 320.46
8048 8049 319.48
5064 5164 201.04
1881 1980 74.67
9569 9570 379.87
4248 4347 168.63
8407 8506 333.73
1631 1732 64.75
4461 4560 177.09
2013 2114 79.91
3483 3582 138.27
4023 4024 159.68
6467 6568 256.75
4811 4910 190.97
7374 7375 292.73
4903 5004 194.64
4232 4333 168.01
3935 3936 156.19
3616 3717 143.55
2657 2756 105.47
9777 9878 388.16
5623 5723 223.22
5461 5462 216.78
3520 3621 139.74
4096 4196 162.62
9186 9285 364.68
5046 5146 200.32
5332 5333 211.65
8118 8219 322.28
5244 5245 208.16
7573 7672 300.64
126 227 5.00
8994 9094 357.07
5072 5172 201.36
5507 5607 218.61
2 3 0.04
4762 4861 189.04
3970 4071 157.62
867 868 34.40
9723 9824 386.00
6499 6599 258.02
7177 7178 284.91
2390 2491 94.90
4588 4689 182.16
1747 1847 69.35
790 891 31.38
6320 6321 250.87
2991 3090 118.74
9414 9513 373.71
814 914 32.30
7676 7777 304.75
2126 2227 84.40
4469 4569 177.42
5815 5816 230.82
6013 6112 238.69
9209 9310 365.59
7384 7483 293.14
9176 9276 364.29
6898 6899 273.84
2602 2701 103.27
6146 6247 244.00
6861 6961 272.38
1515 1615 60.13
4486 4585 178.09
103 104 4.05
8985 8986 356.69
862 963 34.23
9836 9937 390.49
9773 9873 387.99
4140 4239 164.34
8698 8699 345.30
3735 3736 148.25
2907 3006 115.38
2331 2432 92.54
2377 2477 94.37
7752 7852 307.75
43 142 1.69
8614 8713 341.95
23 24 0.88
3004 3105 119.25
9676 9777 384.15
9279 9378 368.37
7134 7234 283.21
3153 3254 125.18
382 483 15.18
3099 3100 123.02
8470 8569 336.25
6811 6812 270.36
8070 8071 320.36
2459 2460 97.60
9492 9493 376.82
4871 4972 193.39
9008 9107 357.59
9004 9005 357.42
3435 3534 136.35
4745 4844 188.36
5674 5773 225.25
4839 4939 192.10
8960 9060 355.71
7087 7186 281.35
4543 4643 180.35
8131 8230 322.78
1584 1684 62.89
2864 2963 113.69
8348 8448 331.41
2306 2406 91.53
9534 9535 378.47
4229 4329 167.88
6155 6254 244.34
8725 8825 346.37
7831 7832 310.86
6714 6815 266.54
6388 6488 253.61
783 884 31.10
1772 1773 70.33
2143 2242 85.06
763 863 30.29
7973 8072 316.52
4432 4531 175.93
8232 8332 326.80
4265 4366 169.33
7331 7432 291.04
2208 2209 87.62
8536 8537 338.85
5078 5079 201.58
8776 8777 348.39
1467 1568 58.25
1099 1100 43.62
8518 8618 338.15
9812 9912 389.52
6773 6872 268.88
2037 2038 80.84
8936 9036 354.75
5062 5063 200.94
2304 2404 91.45
2519 2520 99.97
3118 3119 123.75
1110 1211 44.06
903 1004 35.84
1141 1240 45.28
5442 5543 216.05
3424 3523 135.91
1279 1380 50.79
6247 6348 248.01
5963 5964 236.71
1014 1114 40.24
7055 7056 280.06
9282 9283 368.48
3142 3241 124.72
1640 1641 65.08
6803 6902 270.05
51 52 2.00
6038 6139 239.71
5465 5564 216.95
4264 4364 169.28
2352 2451 93.36
5542 5543 219.99
6254 6353 248.27
1117 1118 44.31
4565 4664 181.22
2843 2844 112.84
5554 5654 220.49
258 359 10.25
3146 3245 124.88
2514 2614 99.79
3732 3831 148.14
1462 1562 58.04
831 930 32.97
781 880 31.00
6397 6496 253.96
4503 4504 178.73
8228 8329 326.65
2246 2247 89.14
6292 6392 249.80
1057 1157 41.96
9835 9836 390.42
6333 6334 251.39
535 635 21.23
4971 5070 197.34
5706 5707 226.49
1924 2025 76.38
6685 6686 265.38
6510 6609 258.42
7006 7107 278.13
6569 6669 260.79
8865 8866 351.92
9079 9180 360.45
2578 2679 102.36
998 1099 39.64
9410 9411 373.54
69 168 2.73
1304 1404 51.75
227 228 8.98
6190 6289 245.74
5577 5677 221.41
7579 7678 300.88
9455 9554 375.35
9550 9551 379.11
1533 1632 60.84
6334 6435 251.46
7259 7260 288.16
9238 9338 366.74
8350 8351 331.47
1878 1977 74.55
3244 3343 128.77
9089 9190 360.85
3887 3988 154.33
8930 9030 354.51
9064 9164 359.84
4805 4906 190.75
9521 9620 377.96
9354 9455 371.36
2638 2737 104.71
782 883 31.06
9431 9532 374.41
4122 4221 163.62
6027 6128 239.27
8765 8865 347.97
8869 8968 352.09
6021 6120 239.01
5570 5670 221.13
6324 6425 251.06
1652 1752 65.58
4674 4675 185.54
543 643 21.55
8543 8642 339.14
6214 6215 246.66
9711 9810 385.50
1348 1349 53.49
496 597 19.71
837 937 33.22
7153 7253 283.97
2584 2684 102.59
9657 9658 383.36
8735 8834 346.76
4750 4849 188.56
809 908 32.09
5065 5066 201.06
4315 4416 171.30
5983 5984 237.51
5713 5814 226.80
4064 4165 161.35
2576 2676 102.27
1711 1712 67.89
5713 5714 226.77
9836 9837 390.46
8416 8516 334.10
8076 8176 320.62
111 210 4.38
3481 3582 138.21
6099 6100 242.12
7398 7498 293.71
6378 6479 253.22
9001 9002 357.31
2555 2556 101.41
7266 7365 288.45
4953 5052 196.62
6477 6478 257.12
6142 6241 243.82
7281 7380 289.05
5033 5034 199.78
2310 2409 91.68
6335 6436 251.50
5175 5276 205.46
1932 2032 76.69
7710 7811 306.08
3470 3569 137.75
3204 3205 127.16
1211 1310 48.05
302 402 11.97
7765 7865 308.27
2637 2737 104.68
7878 7979 312.77
4579 4679 181.79
7307 7407 290.07
1045 1144 41.47
9013 9112 357.79
7347 7448 291.68
5325 5424 211.38
6399 6498 254.04
6170 6269 244.94
1658 1659 65.80
5375 5376 213.37
2118 2217 84.06
6073 6074 241.08
3425 3526 135.97
5299 5300 210.36
9613 9713 381.62
5965 5966 236.79
3436 3535 136.39
8900 9000 353.33
1283 1284 50.92
1690 1790 67.10
2441 2442 96.88
2443 2542 96.97
4841 4842 192.16
8083 8182 320.89
8249 8348 327.47
1227 1228 48.68
1952 2053 77.50
2943 3044 116.84
8584 8685 340.80
2274 2373 90.27
11 12 0.40
4257 4356 168.99
498 499 19.76
8153 8154 323.65
3229 3230 128.16
1990 2091 79.02
9504 9505 377.27
6567 6667 260.71
6023 6124 239.11
5358 5359 212.69
5374 5375 213.33
5652 5753 224.39
4078 4179 161.91
4041 4042 160.40
4070 4170 161.58
1099 1200 43.65
7720 7819 306.46
1321 1322 52.41
9881 9980 392.27
805 904 31.93
3912 4013 155.30
9062 9163 359.77
3840 3939 152.43
6293 6392 249.83
8830 8929 350.53
4345 4346 172.47
6864 6963 272.49
6088 6188 241.70
4955 4956 196.69
3313 3413 131.51
941 1040 37.34
7280 7281 289.00
1613 1714 64.03
8213 8314 326.05
261 361 10.36
1865 1965 74.04
3365 3465 133.59
8048 8148 319.50
7346 7446 291.63
3705 3706 147.05
1335 1436 53.00
1267 1368 50.31
8206 8306 325.76
2308 2407 91.60
3959 4059 157.17
1808 1809 71.74
3422 3423 135.82
804 805 31.88
2587 2588 102.69
9867 9967 391.72
3291 3390 130.65
7781 7880 308.90
5842 5942 231.92
2827 2927 112.22
3454 3455 137.10
6723 6822 266.88
4831 4932 191.79
6911 7012 274.36
3785 3786 150.25
6066 6165 240.81
7481 7580 296.99
1464 1563 58.11
2867 2967 113.82
4910 4911 194.89
8165 8264 324.14
4441 4540 176.29
3376 3476 134.03
7777 7876 308.74
9168 9269 363.98
9393 9394 372.89
4455 4556 176.87
4143 4244 164.48
6117 6217 242.83
10 110 0.38
2656 2756 105.44
1316 1416 52.23
9434 9535 374.53
224 325 8.89
2235 2236 88.70
895 994 35.53
2433 2434 96.56
4187 4188 166.21
983 984 39.01
7452 7553 295.85
2251 2352 89.37
1133 1234 44.98
7765 7766 308.25
2734 2833 108.52
6889 6990 273.51
766 866 30.41
708 807 28.08
3164 3165 125.59
7895 7996 313.45
4507 4608 178.92
867 968 34.43
3687 3787 146.38
8519 8618 338.18
6556 6557 260.25
5049 5148 200.43
1047 1148 41.57
9082 9181 360.55
8374 8473 332.44
794 795 31.51
4258 4359 169.05
7548 7648 299.65
6332 6431 251.36
9635 9636 382.48
9614 9714 381.66
97 196 3.85
4803 4902 190.65
843 844 33.44
1732 1833 68.76
6682 6783 265.29
9624 9724 382.06
6452 6453 256.12
7007 7107 278.16
6324 6424 251.05
5572 5672 221.21
1078 1079 42.78
9254 9355 367.39
4597 4696 182.50
2817 2918 111.83
1581 1680 62.76
1174 1175 46.59
4697 4797 186.48
4623 4723 183.52
5746 5846 228.11
8515 8615 338.03
1546 1645 61.36
4111 4112 163.17
2677 2776 106.27
726 827 28.82
63 163 2.50
835 934 33.13
8156 8256 323.79
1692 1791 67.17
7355 7455 291.99
5884 5983 233.59
6449 6450 256.00
7743 7843 307.39
2775 2874 110.16
8905 9006 353.52
2146 2245 85.18
6483 6584 257.39
4824 4924 191.50
8183 8282 324.86
627 628 24.86
8230 8330 326.72
2956 3055 117.34
1495 1596 59.37
1070 1171 42.49
9224 9324 366.18
1507 1608 59.82
6390 6490 253.69
3660 3760 145.30
2876 2976 114.18
1668 1669 66.20
9104 9204 361.41
6059 6158 240.53
6732 6832 267.25
34 133 1.33
5377 5378 213.45
2950 3051 117.12
5646 5745 224.13
5769 5770 229.01
5264 5363 208.97
3202 3303 127.11
4213 4314 167.25
2075 2176 82.39
1540 1641 61.14
6130 6229 243.34
6910 7010 274.31
1427 1528 56.65
4504 4505 178.77
4213 4214 167.22
2879 2980 114.31
6924 6925 274.85
2153 2252 85.46
2313 2413 91.81
302 403 11.98
6529 6630 259.20
9366 9367 371.81
5483 5584 217.69
2159 2258 85.70
3944 4045 156.58
7546 7547 299.55
7171 7172 284.67
3326 3427 132.04
1140 1141 45.23
9215 9314 365.81
7883 7884 312.94
4965 5064 197.10
5925 6025 235.21
7637 7638 303.16
6062 6161 240.65
6482 6583 257.35
2774 2874 110.13
9877 9878 392.10
863 963 34.26
3925 4026 155.82
3953 3954 156.91
543 644 21.56
2294 2295 91.06
775 874 30.76
2956 3056 117.35
8783 8882 348.68
8374 8475 332.46
5114 5115 202.99
5392 5493 214.08
142 143 5.61
1120 1219 44.44
8060 8061 319.96
6865 6964 272.53
4636 4737 184.05
9465 9466 375.74
4208 4209 167.02
3786 3787 150.29
525 625 20.83
6256 6357 248.37
304 405 12.06
1818 1819 72.14
5449 5548 216.31
7520 7620 298.53
5894 5994 234.00
3440 3539 136.55
5639 5739 223.86
851 952 33.79
9575 9676 380.14
6934 7035 275.28
2412 2511 95.73
95 96 3.76
327 328 12.95
265 366 10.53
3608 3709 143.23
3341 3440 132.62
4944 5044 196.27
9629 9728 382.25
5702 5803 226.36
6175 6276 245.16
2653 2752 105.31
6327 6426 251.16
5724 5823 227.22
8481 8582 336.71
4056 4156 161.02
6853 6953 272.06
9124 9225 362.22
1974 2073 78.36
3157 3158 125.31
4003 4102 158.89
5763 5764 228.77
7273 7372 288.73
6688 6689 265.50
4230 4329 167.91
6072 6171 241.05
4102 4203 162.84
8572 8671 340.30
2689 2788 106.75
7684 7785 305.07
4016 4115 159.41
2627 2628 104.26
8807 8808 349.60
2487 2588 98.75
92 192 3.66
4584 4683 181.98
8341 8441 331.13
6219 6320 246.89
1426 1525 56.59
8744 8844 347.13
1193 1292 47.36
2008 2109 79.71
8374 8474 332.45
8385 8486 332.90
5475 5575 217.36
3617 3718 143.59
6503 6604 258.16
885 886 35.12
9147 9246 363.12
1024 1124 40.64
3006 3106 119.32
9258 9358 367.54
4273 4274 169.62
5359 5459 212.75
8140 8141 323.13
8344 8444 331.25
7561 7562 300.15
6693 6793 265.72
4018 4118 159.50
3364 3464 133.55
2442 2443 96.92
70 170 2.78
1199 1300 47.62
1104 1204 43.81
740 841 29.38
7585 7586 301.11
3277 3378 130.11
6546 6646 259.87
6188 6288 245.67
3443 3444 136.66
1885 1986 74.85
7053 7152 279.99
6889 6989 273.50
4437 4536 176.13
7607 7707 301.98
959 1059 38.07
7038 7039 279.38
7560 7661 300.14
4046 4047 160.60
4641 4741 184.24
9355 9456 371.40
9177 9278 364.34
6187 6188 245.61
7790 7889 309.26
5411 5511 214.80
6606 6607 262.22
7837 7838 311.10
3448 3548 136.88
3700 3800 146.89
3047 3146 120.95
4518 4618 179.35
5822 5922 231.12
4163 4164 165.25
4853 4952 192.65
7097 7196 281.75
2849 2850 113.08
3674 3775 145.87
1062 1161 42.15
1320 1419 52.38
3479 3579 138.12
6166 6267 244.80
8930 9029 354.50
6290 6391 249.73
9341 9442 370.84
7008 7109 278.21
8777 8878 348.46
4846 4947 192.39
6006 6105 238.41
1560 1660 61.93
8520 8619 338.22
4067 4167 161.46
8625 8725 342.40
6643 6644 263.70
774 875 30.74
4268 4367 169.43
4796 4896 190.41
5091 5192 202.13
6078 6179 241.31
1936 2036 76.85
153 252 6.06
8873 8874 352.24
4415 4516 175.27
7464 7565 296.33
7121 7222 282.70
1088 1089 43.18
5987 5988 237.67
9012 9013 357.74
6767 6768 268.63
2879 2979 114.30
4780 4781 189.75
1717 1818 68.16
3103 3204 123.18
8174 8275 324.52
1532 1632 60.81
5367 5467 213.07
149 249 5.91
3423 3523 135.88
5112 5212 202.93
4633 4734 183.93
4836 4837 191.96
1700 1800 67.49
3819 3919 151.60
3316 3317 131.61
5745 5746 228.05
5345 5446 212.20
7877 7878 312.70
5763 5864 228.80
7647 7747 303.58
3567 3666 141.60
9806 9906 389.28
5760 5861 228.68
4751 4850 188.60
835 935 33.14
2052 2152 81.46
8896 8897 353.16
7969 8068 316.36
2321 2322 92.11
3513 3613 139.45
3473 3572 137.87
9569 9669 379.89
753 854 29.90
9327 9428 370.28
644 744 25.56
3446 3547 136.81
3454 3554 137.12
833 834 33.04
6315 6415 250.69
8885 8986 352.75
664 665 26.34
2994 3094 118.87
2358 2359 93.59
6019 6120 238.95
1248 1347 49.53
4358 4458 173.01
139 140 5.49
2360 2361 93.67
3304 3404 131.15
3584 3684 142.29
2918 2919 115.81
6928 6929 275.01
3529 3628 140.08
4598 4697 182.54
9763 9863 387.59
2242 2243 88.98
8058 8059 319.88
1140 1239 45.24
5110 5211 202.86
3905 3906 154.99
4093 4192 162.49
3340 3440 132.59
8474 8573 336.41
9505 9604 377.32
569 669 22.59
5475 5576 217.37
60 159 2.37
7857 7958 311.93
1349 1449 53.55
6826 6927 270.99
8767 8768 348.03
1991 1992 79.03
8262 8363 328.01
2578 2579 102.33
8707 8808 345.66
1257 1358 49.91
913 1012 36.22
6295 6396 249.93
5789 5888 229.82
4948 5049 196.44
165 266 6.56
3019 3020 119.82
9088 9187 360.79
8634 8734 342.76
6574 6674 260.99
2782 2881 110.44
8661 8761 343.84
4675 4775 185.60
5051 5052 200.50
9178 9279 364.38
223 224 8.82
5402 5501 214.43
9762 9861 387.54
