40000 158802
14186 14385 565.31
4800 5000 191.28
35217 35416 1403.37
11663 11864 464.77
36746 36747 1464.31
31910 31911 1271.59
14377 14577 572.93
17206 17207 685.62
20383 20384 812.25
23869 24068 951.16
28437 28637 1133.20
34080 34279 1358.07
27111 27311 1080.37
11657 11856 464.51
23999 24198 956.36
18912 18913 753.62
24660 24861 982.70
27044 27244 1077.69
5180 5181 206.41
32844 33043 1308.81
9869 10069 393.27
23848 24049 950.34
16858 17058 671.78
17740 17941 706.95
38196 38397 1522.13
14983 14984 597.06
34092 34093 1358.54
14998 15199 597.69
15384 15385 613.04
18336 18537 730.70
35881 36081 1429.85
22194 22394 884.44
29592 29593 1179.23
29913 29914 1192.01
1166 1167 46.45
9841 9842 392.13
28185 28385 1123.18
22544 22744 898.38
17252 17452 687.48
1457 1458 58.03
2597 2598 103.48
27729 27929 1105.00
19699 19700 784.98
26849 26850 1069.90
32893 32894 1310.76
15579 15780 620.84
3816 4017 152.06
2944 2945 117.30
22696 22897 904.44
10582 10783 421.71
1458 1659 58.10
22594 22795 900.39
23899 24098 952.36
18821 19020 749.99
15584 15784 621.03
2918 3119 116.29
39505 39506 1574.25
2248 2449 89.58
34593 34594 1378.52
36635 36835 1459.89
28265 28464 1126.34
854 1055 34.03
11880 12081 473.42
27120 27319 1080.72
19463 19664 775.60
21399 21600 852.77
5319 5518 211.95
11563 11564 460.77
28284 28285 1127.09
2107 2108 83.94
160 360 6.38
14216 14217 566.47
37644 37845 1500.11
1768 1967 70.45
35366 35565 1409.33
22046 22047 878.50
13983 14182 557.22
26927 27126 1073.03
39424 39425 1571.01
16219 16420 646.32
12091 12292 481.83
15698 15899 625.57
22458 22659 894.95
26678 26877 1063.10
3299 3499 131.46
34891 35090 1390.39
21458 21657 855.08
8255 8454 328.94
414 613 16.47
30849 31048 1229.31
35636 35835 1420.07
9921 10122 395.36
33031 33232 1316.28
34779 34980 1385.96
33896 34095 1350.74
9522 9721 379.44
38055 38255 1516.48
36677 36877 1461.57
10689 10888 425.94
10989 11190 437.93
1251 1451 49.84
28193 28394 1123.51
31409 31608 1251.62
37950 38151 1512.32
30388 30588 1210.97
1378 1577 54.91
4813 4814 191.76
35240 35440 1404.30
35030 35031 1395.91
26454 26653 1054.17
6947 7148 276.85
38940 39139 1551.75
1516 1716 60.41
20659 20858 823.24
32794 32994 1306.85
11654 11854 464.40
4994 5193 199.01
24247 24446 966.22
3453 3654 137.60
22759 22760 906.93
4943 5142 196.97
14376 14377 572.87
18355 18555 731.45
15597 15796 621.54
4280 4481 170.56
1296 1496 51.64
21870 22070 871.51
30934 31134 1232.72
13150 13151 524.01
26374 26575 1051.02
12076 12277 481.23
3230 3231 128.68
14835 14836 591.14
8019 8219 319.54
16453 16654 655.65
35270 35470 1405.50
33022 33221 1315.90
4545 4744 181.11
10292 10491 410.12
5203 5204 207.30
30059 30260 1197.85
35813 36014 1427.14
4509 4510 179.66
20594 20795 820.69
5279 5478 210.35
13803 14003 550.03
6781 6980 270.22
1436 1437 57.19
27384 27585 1091.27
30534 30733 1216.77
26257 26456 1046.32
39227 39428 1563.19
21975 22174 875.70
22004 22204 876.84
39384 39583 1569.45
30954 31154 1233.52
29826 30027 1188.56
29459 29658 1173.92
12430 12631 495.33
35969 36170 1433.38
14630 14829 582.98
11418 11419 454.97
24349 24549 970.31
24860 25061 990.67
22809 23010 908.93
35385 35586 1410.11
7177 7376 286.00
29566 29766 1178.21
38474 38475 1533.16
13800 14000 549.93
13195 13395 525.83
22142 22343 882.37
2745 2946 109.40
5605 5804 223.33
3901 4101 155.45
4813 5013 191.78
4949 5148 197.21
33276 33476 1326.04
32584 32783 1298.47
33297 33298 1326.86
2337 2537 93.13
19358 19557 771.41
24960 25161 994.67
863 1063 34.38
38520 38721 1535.03
6295 6296 250.83
23500 23699 936.46
31294 31493 1247.05
409 608 16.27
13023 13024 518.93
25220 25221 1004.98
33931 34131 1352.15
32166 32365 1281.81
5092 5093 202.89
12456 12457 496.34
27358 27359 1090.20
11377 11378 453.36
3372 3571 134.37
23349 23350 930.44
27355 27556 1090.11
21292 21493 848.49
26047 26248 1037.97
26399 26400 1051.99
4530 4729 180.51
3582 3782 142.75
32419 32618 1291.87
13545 13745 539.77
21488 21688 856.29
2941 3141 117.20
12973 12974 516.96
37914 37915 1510.85
248 449 9.88
13665 13864 544.53
26644 26843 1061.74
15307 15508 609.99
2806 3005 111.79
23379 23578 931.65
30256 30455 1205.68
33428 33429 1332.07
19670 19869 783.83
33235 33434 1324.39
3923 4123 156.33
11727 11926 467.31
32035 32235 1276.58
13285 13484 529.39
19760 19960 787.44
9653 9852 384.65
36446 36647 1452.37
19052 19253 759.22
31702 31903 1263.33
18093 18292 720.99
22061 22062 879.10
34430 34631 1372.03
27865 28066 1110.42
13261 13262 528.42
2380 2581 94.86
19670 19870 783.84
31712 31913 1263.73
12511 12512 498.54
319 518 12.70
21339 21539 850.36
33877 34077 1349.99
34385 34386 1370.23
24371 24572 971.20
32644 32844 1300.85
18462 18662 735.70
28231 28431 1124.99
538 539 21.42
1020 1219 40.62
10149 10350 404.45
10239 10438 408.00
15165 15166 604.31
36571 36771 1457.36
10571 10772 421.27
34098 34297 1358.79
23210 23411 924.91
29953 29954 1193.61
8173 8373 325.70
37245 37444 1484.19
35494 35694 1414.43
10900 11101 434.37
4901 4902 195.28
23703 23704 944.54
33127 33327 1320.11
5771 5971 229.98
2118 2319 84.41
10544 10745 420.19
34979 35180 1393.93
36002 36201 1434.65
30891 30892 1230.98
30376 30576 1210.49
178 179 7.08
21495 21496 856.55
20442 20642 814.60
38766 38767 1544.81
20593 20594 820.62
8734 8735 348.03
25759 25958 1026.49
3786 3986 150.88
4909 4910 195.60
18173 18372 724.19
36539 36740 1456.09
3878 3879 154.51
26363 26364 1050.55
37098 37297 1478.34
24109 24308 960.73
5204 5405 207.37
2762 2961 110.06
37191 37391 1482.07
15633 15832 622.95
3600 3800 143.46
36507 36707 1454.80
6081 6280 242.31
36033 36234 1435.91
9651 9852 384.59
25019 25218 996.98
17057 17258 679.72
29168 29169 1162.33
39335 39535 1567.50
39296 39495 1565.93
35386 35585 1410.13
36569 36768 1457.27
29359 29560 1169.97
24466 24667 974.97
22576 22777 899.67
10242 10442 408.13
15356 15555 611.93
36211 36411 1442.99
18285 18486 728.66
16113 16314 642.11
28698 28899 1143.62
4922 5123 196.15
25080 25081 999.41
32725 32925 1304.09
11079 11280 441.50
37969 38169 1513.07
18212 18412 725.73
1505 1704 59.96
13807 13808 550.17
31776 31975 1266.27
1621 1622 64.56
22354 22555 890.82
36109 36308 1438.93
4417 4617 176.00
1875 2076 74.72
36325 36326 1447.53
33112 33113 1319.49
37759 37958 1504.69
539 740 21.49
21482 21682 856.05
8196 8197 326.60
3961 4160 157.84
15978 16179 636.74
22948 22949 914.46
24301 24502 968.40
24285 24486 967.76
28375 28376 1130.73
8621 8822 343.54
12669 12670 504.83
11309 11508 450.65
18512 18713 737.71
25442 25641 1013.84
33200 33400 1323.02
5839 6039 232.67
36744 36745 1464.23
39395 39595 1569.90
4214 4413 167.90
16083 16283 640.90
14671 14872 584.64
18942 18943 754.82
19974 19975 795.95
649 850 25.86
26338 26539 1049.58
26111 26311 1040.52
37389 37589 1489.96
1658 1858 66.06
13259 13458 528.35
21550 21750 858.77
36470 36669 1453.31
852 1051 33.93
17465 17664 695.96
5896 6095 234.94
25792 25992 1027.82
6791 6992 270.64
36739 36938 1464.04
4229 4230 168.49
600 800 23.91
26005 26206 1036.29
30977 31178 1234.45
30673 30873 1222.31
11232 11233 447.56
37900 38100 1510.31
39645 39845 1579.84
17466 17667 696.02
6637 6836 264.46
19166 19365 763.76
9930 10129 395.70
38098 38297 1518.19
10475 10674 417.41
9747 9947 388.42
19605 19806 781.25
4628 4828 184.41
38683 38882 1541.50
27421 27622 1092.72
20029 20228 798.13
4341 4541 172.99
12755 12756 508.27
8904 8905 354.80
24160 24359 962.77
14940 14941 595.34
18697 18896 745.06
14038 14238 559.40
14904 15104 593.92
26158 26159 1042.38
36763 36962 1465.00
36002 36003 1434.64
33553 33753 1337.09
31772 31971 1266.11
37650 37849 1500.33
30151 30352 1201.53
14378 14577 572.96
39665 39864 1580.63
8265 8464 329.34
16584 16783 660.87
1974 2173 78.66
11718 11917 466.95
18064 18065 719.82
17053 17253 679.55
635 834 25.28
19782 19983 788.33
39999 40000 1588.02
31655 31856 1261.45
30809 31009 1227.72
5407 5408 215.43
33473 33672 1333.88
23668 23669 943.14
1267 1466 50.47
10915 11114 434.95
24356 24555 970.58
16216 16417 646.20
6977 6978 278.02
35317 35318 1407.36
31161 31361 1241.77
9667 9868 385.23
22910 22911 912.94
9083 9282 361.94
32008 32207 1275.49
6735 6936 268.40
28762 28963 1146.18
15290 15291 609.28
22333 22532 889.96
19941 20142 794.66
6956 6957 277.18
17319 17518 690.15
36532 36732 1455.80
15080 15279 600.92
29801 30001 1187.55
23010 23210 916.93
22865 23064 911.15
11483 11684 457.60
22094 22095 880.42
38209 38408 1522.60
5037 5238 200.72
10492 10493 418.08
39166 39365 1560.76
35220 35419 1403.49
33642 33842 1340.62
13021 13221 518.87
16428 16628 654.64
26444 26645 1053.79
8388 8587 334.26
36793 36794 1466.19
8091 8290 322.41
34710 34910 1383.19
26022 26222 1036.96
10537 10736 419.89
23440 23641 934.08
336 337 13.37
2880 3079 114.75
18341 18542 730.90
22656 22657 902.81
37500 37701 1494.38
9864 10063 393.06
39128 39129 1559.23
15465 15466 616.25
36292 36493 1446.24
1797 1996 71.61
19928 19929 794.11
12597 12798 502.01
29735 29936 1184.95
15238 15439 607.23
26559 26560 1058.36
16401 16601 653.56
29727 29927 1184.62
17292 17293 689.06
33395 33594 1330.79
32499 32699 1295.08
38763 38962 1544.70
11152 11153 444.39
22921 23121 913.40
3683 3883 146.76
16433 16633 654.84
27415 27614 1092.46
16919 17120 674.23
4999 5198 199.21
29213 29413 1164.12
1315 1514 52.39
3504 3704 139.63
15140 15340 603.33
31785 31986 1266.65
34570 34771 1377.63
36644 36843 1460.24
22266 22267 887.27
24882 25081 991.53
6159 6160 245.42
37790 37791 1505.92
25494 25495 1015.91
16701 16702 665.51
20187 20387 804.46
4778 4978 190.41
5097 5296 203.10
15988 16189 637.14
27959 27960 1114.15
6717 6918 267.68
6888 6889 274.46
6651 6850 265.02
5162 5363 205.72
13765 13965 548.54
12631 12832 503.34
23805 24006 948.62
31276 31477 1246.35
33984 34185 1354.28
19324 19524 770.06
21722 21723 865.60
17546 17745 699.20
3213 3412 128.01
35862 36061 1429.08
36178 36179 1441.68
8322 8523 331.64
20407 20606 813.19
30582 30781 1218.69
33319 33519 1327.76
26855 27055 1070.16
5564 5765 221.74
2625 2824 104.58
24995 25195 996.06
14492 14691 577.49
32093 32292 1278.89
22862 23062 911.04
9414 9613 375.12
22810 22811 908.94
13410 13411 534.35
13526 13726 539.01
14405 14406 574.00
3636 3835 144.87
2657 2658 105.85
2658 2859 105.92
8212 8413 327.24
25628 25629 1021.24
19917 20118 793.70
29551 29751 1177.61
1443 1642 57.48
10734 10735 427.73
39377 39577 1569.18
26150 26351 1042.09
38983 39182 1553.47
25615 25815 1020.74
13839 13840 551.45
19105 19306 761.34
31469 31670 1254.04
9622 9623 383.40
28149 28348 1121.73
22024 22225 877.65
24153 24352 962.49
37451 37452 1492.39
7392 7592 294.58
20912 20913 833.32
11492 11493 457.93
297 498 11.84
3919 4119 156.17
31889 32088 1270.76
22251 22451 886.69
4562 4563 181.78
12495 12695 497.92
686 885 27.32
12752 12951 508.16
16858 17059 671.79
19896 20097 792.86
24847 24848 990.12
3195 3395 127.33
25105 25305 1000.43
31761 31762 1265.66
14900 15099 593.75
33084 33283 1318.38
17753 17954 707.47
9456 9656 376.81
29985 30184 1194.90
8318 8519 331.48
26331 26332 1049.27
8853 9054 352.79
21915 21916 873.29
34153 34352 1360.99
20260 20459 807.34
8537 8737 340.20
1836 2035 73.14
1817 2016 72.38
28150 28351 1121.79
26396 26397 1051.87
31602 31603 1259.30
34923 35122 1391.67
19743 19943 786.76
3295 3495 131.30
18890 19090 752.76
6332 6333 252.31
38518 38719 1534.95
7213 7214 287.40
24278 24279 967.45
124 125 4.92
33081 33280 1318.26
17959 18160 715.68
5155 5354 205.42
35784 35985 1426.01
12386 12585 493.58
9799 9800 390.48
7439 7639 296.43
35518 35719 1415.40
26795 26994 1067.78
16237 16437 647.03
10828 11028 431.48
35178 35379 1401.86
1344 1544 53.56
11249 11450 448.27
15046 15245 599.56
32566 32767 1297.77
14106 14307 562.13
9179 9380 365.80
1199 1200 47.77
34848 35048 1388.68
25883 26084 1031.44
19719 19720 785.78
5086 5286 202.67
39590 39591 1577.65
10861 11060 432.79
28976 29177 1154.71
11832 12033 471.50
18421 18622 734.07
365 564 14.54
26288 26488 1047.57
19050 19051 759.11
15160 15361 604.14
5214 5415 207.77
29388 29589 1171.13
2074 2273 82.63
5640 5839 224.73
38584 38783 1537.57
4337 4537 172.83
36024 36025 1435.52
29699 29700 1183.48
22336 22337 890.07
30599 30798 1219.37
14708 14907 586.10
3416 3616 136.11
2463 2663 98.14
9526 9727 379.62
26090 26091 1039.66
5655 5656 225.32
19892 20092 792.69
21993 22194 876.44
11617 11817 462.92
1802 1803 71.77
26574 26575 1058.96
26340 26540 1049.65
22083 22283 880.00
21450 21651 854.78
24807 25006 988.53
39796 39995 1585.87
28505 28506 1135.90
35798 35998 1426.56
34579 34778 1377.97
14481 14681 577.06
9342 9343 372.26
32640 32840 1300.69
11678 11878 465.36
10145 10146 404.26
14478 14677 576.93
1278 1478 50.92
26899 27099 1071.92
1599 1600 63.71
31984 32185 1274.58
1903 2102 75.82
31133 31134 1240.63
25187 25386 1003.70
35643 35644 1420.34
31077 31278 1238.42
39669 39670 1580.78
30159 30359 1201.84
32873 33073 1309.98
33461 33661 1333.41
31294 31495 1247.07
1828 2028 72.83
26620 26820 1060.79
2788 2989 111.12
31052 31252 1237.41
8761 8762 349.11
16813 17013 669.98
12301 12302 490.17
15351 15551 611.74
32529 32530 1296.26
30743 30944 1225.12
10427 10627 415.50
19940 20139 794.60
73 74 2.88
6351 6552 253.10
13100 13301 522.04
15151 15352 603.78
8587 8788 342.21
31758 31759 1265.54
6582 6583 262.28
9457 9658 376.86
5445 5646 216.98
5918 5919 235.81
8333 8334 332.05
27768 27968 1106.56
27665 27866 1102.45
31115 31315 1239.93
18333 18533 730.57
34062 34063 1357.34
29779 29978 1186.69
33590 33591 1338.55
39034 39234 1555.49
2741 2940 109.22
5405 5406 215.35
6661 6861 265.43
15369 15370 612.44
18895 18896 752.94
32710 32909 1303.48
6231 6430 248.28
25340 25541 1009.81
25189 25390 1003.80
4973 5172 198.17
13304 13503 530.15
19619 19820 781.81
33757 33957 1345.22
33649 33849 1340.90
25759 25960 1026.51
30896 31096 1231.20
3364 3365 134.04
31415 31615 1251.87
31470 31669 1254.06
20294 20295 808.69
36300 36501 1446.56
36927 37128 1471.55
30661 30862 1221.84
24974 25173 995.21
6336 6536 252.49
1356 1557 54.05
11767 11968 468.93
5454 5654 217.33
15136 15337 603.18
12384 12584 493.51
15188 15388 605.25
14809 14810 590.10
3269 3469 130.26
3534 3535 140.81
17205 17404 685.59
18934 19133 754.51
33869 34070 1349.68
11169 11368 445.08
15382 15583 612.99
31051 31252 1237.38
24650 24851 982.30
6215 6216 247.63
16585 16784 660.91
33487 33688 1334.46
38265 38464 1524.84
34587 34788 1378.31
2533 2734 100.95
19524 19723 778.02
30824 31023 1228.31
15820 15821 630.39
25505 25704 1016.36
19075 19275 760.13
30849 31050 1229.33
14572 14771 580.69
1206 1405 48.03
14965 15165 596.36
23910 24109 952.80
19228 19229 766.20
22380 22580 891.85
34045 34046 1356.66
35372 35373 1409.56
9407 9408 374.83
18216 18417 725.90
21946 22146 874.55
766 965 30.52
36889 37090 1470.03
8206 8405 326.98
38353 38553 1528.37
13376 13576 533.04
26790 26989 1067.58
11679 11880 465.41
26378 26577 1051.16
31358 31557 1249.61
37136 37137 1479.85
14875 15074 592.75
32253 32453 1285.27
8375 8576 333.76
10715 10915 426.99
31215 31416 1243.91
9412 9611 375.04
24553 24753 978.44
24926 25125 993.29
19079 19278 760.28
6017 6218 239.77
3786 3987 150.89
8783 8784 349.99
13459 13460 536.31
30385 30584 1210.84
36061 36062 1437.00
17722 17921 706.21
31032 31231 1236.60
17372 17572 692.28
33920 33921 1351.69
8469 8670 337.49
6496 6697 258.87
20637 20837 822.37
30119 30120 1200.22
22733 22734 905.89
34283 34484 1366.18
39616 39815 1578.67
10182 10183 405.74
37078 37278 1477.55
17079 17278 680.58
31839 32038 1268.76
4093 4294 163.11
23140 23339 922.12
20640 20839 822.48
6494 6695 258.79
34630 34830 1379.99
3379 3579 134.66
2540 2541 101.20
10020 10021 399.26
27993 27994 1115.51
37702 37903 1502.43
39283 39484 1565.43
15605 15606 621.82
34968 34969 1393.46
9833 10033 391.83
27714 27715 1104.38
22467 22468 895.28
23584 23783 939.82
28634 28835 1141.06
4678 4877 186.40
18263 18463 727.77
14795 14995 589.59
9682 9881 385.81
10413 10414 414.92
29319 29519 1168.36
23001 23201 916.57
12084 12285 481.55
25282 25482 1007.48
19526 19727 778.12
23850 24049 950.40
18733 18934 746.52
38454 38655 1532.39
13449 13650 535.94
25306 25506 1008.44
19392 19591 772.77
23775 23776 947.42
26192 26193 1043.74
39648 39849 1579.97
21224 21424 845.76
6019 6219 239.84
8863 8864 353.16
403 602 16.03
68 267 2.69
24318 24319 969.05
16452 16652 655.60
32847 32848 1308.92
14096 14296 561.72
37592 37593 1498.03
35355 35356 1408.88
5421 5422 215.99
24584 24784 979.68
7926 8125 315.84
37256 37456 1484.64
5827 6027 232.19
39606 39805 1578.27
23798 23997 948.35
29689 29888 1183.09
27771 27972 1106.69
13401 13602 534.02
35716 35916 1423.28
28861 29061 1150.10
14872 15071 592.63
8637 8838 344.18
26986 27186 1075.40
29956 30157 1193.76
2337 2538 93.14
12874 13074 513.02
4678 4878 186.41
6511 6512 259.44
35867 36067 1429.29
3288 3488 131.02
31719 31720 1263.98
7103 7304 283.06
37863 38064 1508.84
16244 16444 647.31
6525 6725 260.02
4841 5040 192.89
24080 24081 959.56
35548 35549 1416.57
35016 35216 1395.37
37444 37643 1492.12
37340 37540 1488.00
37745 37746 1504.12
21300 21301 848.78
33219 33418 1323.75
37223 37224 1483.30
29652 29853 1181.63
28651 28852 1141.74
16343 16544 651.28
30046 30047 1197.30
18379 18579 732.41
39611 39810 1578.47
34895 35095 1390.56
20590 20789 820.51
18455 18654 735.41
39045 39244 1555.92
6676 6876 266.03
32388 32389 1290.65
38604 38803 1538.34
33953 34152 1353.02
23782 23983 947.73
4963 5164 197.79
27286 27485 1087.33
13851 13852 551.93
26971 27172 1074.81
2670 2870 106.39
3843 4042 153.12
9375 9575 373.60
27616 27815 1100.47
33349 33549 1328.96
32321 32322 1287.97
14281 14481 569.09
29545 29744 1177.36
31621 31822 1260.09
9624 9825 383.51
28598 28797 1139.63
6909 7108 275.31
27488 27689 1095.40
29928 30128 1192.63
22055 22255 878.88
10380 10381 413.63
6514 6715 259.59
14091 14291 561.52
14853 14854 591.86
20365 20564 811.54
38230 38231 1523.43
30091 30292 1199.13
20280 20281 808.13
19205 19206 765.28
4134 4335 164.75
15965 16165 636.21
13165 13166 524.61
32953 33152 1313.17
582 782 23.20
27926 28125 1112.84
33671 33672 1341.76
15542 15743 619.36
13852 14053 552.00
27218 27418 1084.62
19130 19131 762.31
3472 3473 138.33
35138 35339 1400.26
20904 21103 833.01
23223 23422 925.41
38615 38815 1538.79
19422 19423 773.93
27350 27551 1089.91
37352 37552 1488.48
32231 32232 1284.37
35414 35613 1411.22
23418 23618 933.19
36597 36598 1458.38
39023 39223 1555.05
20723 20924 825.82
9009 9209 358.99
13456 13655 536.20
15844 16043 631.36
16025 16225 638.58
25551 25751 1018.21
17132 17332 682.71
23138 23337 922.04
38072 38073 1517.14
21694 21893 864.49
29185 29186 1163.01
19978 20177 796.12
15471 15671 616.51
21507 21708 857.06
10553 10753 420.54
18361 18560 731.68
24577 24778 979.41
20811 21011 829.30
35350 35550 1408.70
13120 13320 522.83
7851 8052 312.86
13203 13404 526.13
19676 19677 784.06
16254 16453 647.70
36554 36755 1456.69
11932 12133 475.50
37108 37307 1478.74
3134 3335 124.90
34056 34257 1357.13
29396 29397 1171.42
19936 20136 794.45
33604 33605 1339.08
3311 3511 131.94
36143 36343 1440.30
34865 34866 1389.34
7768 7769 309.54
2431 2630 96.85
4540 4541 180.90
19692 19891 784.71
22925 23126 913.57
3827 4028 152.50
28940 29140 1153.26
25778 25779 1027.24
37897 38097 1510.19
19631 19832 782.29
3142 3143 125.19
9273 9274 369.50
20776 20976 827.93
34030 34230 1356.08
21675 21874 863.73
39656 39657 1580.26
33964 34163 1353.46
6152 6352 245.16
5659 5860 225.51
31417 31617 1251.95
7804 8005 310.98
2629 2828 104.74
26769 26969 1066.75
11883 12083 473.53
9306 9507 370.85
36286 36485 1445.98
369 568 14.70
22668 22867 903.30
33536 33736 1336.41
22512 22711 897.09
10895 10896 434.14
3731 3932 148.69
15280 15281 608.88
31365 31565 1249.90
11232 11433 447.59
3512 3513 139.93
4093 4292 163.09
1805 2006 71.92
25397 25597 1012.08
13528 13529 539.07
22484 22485 895.96
25490 25689 1015.76
23763 23964 946.97
30739 30938 1224.94
25709 25710 1024.48
13666 13865 544.57
6008 6209 239.41
31773 31774 1266.14
6867 7066 273.63
8612 8811 343.16
35835 36034 1428.00
17433 17632 694.68
37787 37788 1505.80
21016 21216 837.47
4519 4719 180.08
25730 25931 1025.35
25330 25531 1009.41
28399 28400 1131.69
35541 35742 1416.32
6624 6625 263.93
35957 36157 1432.89
14603 14802 581.90
26141 26341 1041.72
33097 33297 1318.91
12476 12477 497.14
9524 9724 379.53
1814 2015 72.28
16626 16827 662.54
36018 36019 1435.28
21277 21478 847.89
32106 32307 1279.43
8333 8532 332.06
8202 8402 326.83
10257 10458 408.74
32419 32619 1291.88
24838 25039 989.79
34837 35036 1388.23
38131 38331 1519.52
173 372 6.89
30627 30826 1220.46
18076 18275 720.31
1357 1557 54.08
33752 33952 1345.02
875 1076 34.87
18166 18167 723.90
13324 13325 530.94
37344 37345 1488.14
36503 36702 1454.63
38742 38942 1543.87
3478 3679 138.60
12573 12774 501.05
31885 32086 1270.62
7947 7948 316.67
28042 28241 1117.45
16050 16249 639.57
941 1142 37.51
21253 21254 846.90
28592 28593 1139.38
12792 12992 509.77
36236 36237 1443.97
14854 15055 591.93
1936 2135 77.14
22659 22860 902.96
14128 14129 562.98
38235 38434 1523.64
16249 16250 647.49
12200 12399 486.16
30425 30426 1212.40
4580 4781 182.53
27900 28100 1111.81
30454 30653 1213.57
8677 8876 345.76
6906 7107 275.21
15016 15215 598.36
33188 33388 1322.55
28903 29103 1151.78
20224 20424 805.91
38224 38425 1523.22
37507 37707 1494.65
4599 4798 183.27
28239 28438 1125.30
25343 25542 1009.91
6957 7158 277.25
12499 12500 498.06
